order_id,product_id,user_id,quantity,unit_price,discount,item_total
O00000001,P000395,U000035,2,141.18,0.0,282.36
O00000001,P000433,U000035,1,143.94,23.37,120.57
O00000001,P000235,U000035,1,13.81,0.0,13.81
O00000001,P000232,U000035,1,756.23,0.0,756.23
O00000002,P000466,U000050,2,61.45,0.0,122.9
O00000003,P000272,U000756,1,440.78,142.25,298.53
O00000004,P000315,U000404,1,19.74,0.0,19.74
O00000005,P000495,U000314,1,137.98,0.0,137.98
O00000006,P000441,U000642,1,30.03,0.0,30.03
O00000007,P000305,U000253,1,39.62,0.0,39.62
O00000008,P000414,U000218,1,82.74,0.0,82.74
O00000009,P000437,U000983,2,92.43,0.0,184.86
O00000009,P000316,U000983,2,186.66,108.39,264.93
O00000010,P000095,U000977,2,80.85,0.0,161.7
O00000010,P000440,U000977,1,59.51,0.0,59.51
O00000011,P000084,U000617,1,280.17,0.0,280.17
O00000011,P000439,U000617,1,172.53,0.0,172.53
O00000011,P000074,U000617,1,127.28,7.34,119.94
O00000011,P000292,U000617,1,211.38,59.4,151.98
O00000011,P000028,U000617,2,43.26,0.0,86.52
O00000011,P000245,U000617,1,342.39,0.0,342.39
O00000012,P000497,U000505,1,243.04,0.0,243.04
O00000012,P000274,U000505,1,105.27,0.0,105.27
O00000013,P000362,U000305,3,54.31,0.0,162.93
O00000013,P000251,U000305,1,247.01,0.0,247.01
O00000013,P000491,U000305,1,12.31,0.0,12.31
O00000014,P000170,U000853,1,1114.18,0.0,1114.18
O00000014,P000153,U000853,2,281.13,0.0,562.26
O00000014,P000055,U000853,1,63.36,0.0,63.36
O00000015,P000249,U000551,2,47.91,0.0,95.82
O00000016,P000250,U000503,1,43.84,0.0,43.84
O00000016,P000466,U000503,1,61.45,0.0,61.45
O00000016,P000120,U000503,1,492.74,0.0,492.74
O00000017,P000298,U000727,1,242.47,0.0,242.47
O00000018,P000495,U000433,1,137.98,39.83,98.15
O00000019,P000257,U000871,1,105.58,0.0,105.58
O00000019,P000279,U000871,2,152.18,0.0,304.36
O00000020,P000129,U000074,1,160.06,0.0,160.06
O00000020,P000490,U000074,1,33.73,0.0,33.73
O00000020,P000019,U000074,1,79.56,8.24,71.32
O00000021,P000016,U000390,1,7.89,1.21,6.68
O00000021,P000182,U000390,1,173.73,0.0,173.73
O00000021,P000160,U000390,1,49.09,0.0,49.09
O00000021,P000116,U000390,1,29.95,0.0,29.95
O00000022,P000356,U000220,1,19.45,0.0,19.45
O00000022,P000437,U000220,2,92.43,0.0,184.86
O00000022,P000375,U000220,1,652.23,37.12,615.11
O00000023,P000041,U000235,1,267.08,0.0,267.08
O00000024,P000166,U000885,2,16.93,0.0,33.86
O00000024,P000261,U000885,1,41.78,0.0,41.78
O00000025,P000152,U000976,1,336.16,0.0,336.16
O00000025,P000061,U000976,2,217.56,0.0,435.12
O00000025,P000463,U000976,1,31.64,0.0,31.64
